Franchise,tricode,Lg,From,To,,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,ATL,NBA,1968-69,,,55,4389,2169,2220,.494,35,6,0,0
St. Louis Hawks,,NBA,1955-56,1967-68,Atlanta Hawks,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,,NBA,1951-52,1954-55,Atlanta Hawks,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,,NBA,1949-50,1950-51,Atlanta Hawks,2,132,54,78,.409,1,0,0,0
Boston Celtics,BOS,NBA/BAA,1946-47,,,77,5985,3538,2447,.591,59,32,10,17
Brooklyn Nets,,NBA,2012-13,,,11,834,391,443,.469,7,0,0,0
New Jersey Nets,,NBA,1977-78,2011-12,Brooklyn Nets,35,2822,1186,1636,.420,16,4,2,0
New York Nets,,NBA,1976-77,1976-77,Brooklyn Nets,1,82,22,60,.268,0,0,0,0
New York Nets,,ABA,1968-69,1975-76,Brooklyn Nets,8,666,338,328,.508,7,1,0,2
New Jersey Americans,,ABA,1967-68,1967-68,Brooklyn Nets,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,,NBA,2014-15,,,9,664,300,364,.452,1,0,0,0
Charlotte Bobcats,,NBA,2004-05,2013-14,Charlotte Hornets,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,,NBA,1988-89,2001-02,Charlotte Hornets,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,,NBA,1966-67,,,57,4549,2318,2231,.510,36,9,6,6
Cleveland Cavaliers,,NBA,1970-71,,,53,4224,1955,2269,.463,22,7,5,1
Dallas Mavericks,,NBA,1980-81,,,43,3414,1728,1686,.506,24,4,2,1
Denver Nuggets,,NBA,1976-77,,,47,3738,1866,1872,.499,28,9,0,0
Denver Nuggets,,ABA,1974-75,1975-76,Denver Nuggets,2,168,125,43,.744,2,2,0,0
Denver Rockets,,ABA,1967-68,1973-74,Denver Nuggets,7,576,288,288,.500,7,1,0,0
Detroit Pistons,,NBA,1957-58,,,66,5251,2491,2760,.474,34,9,5,3
Fort Wayne Pistons,,NBA/BAA,1948-49,1956-57,Detroit Pistons,9,619,313,306,.506,8,2,0,0
Golden State Warriors,GSW,NBA,1971-72,,,52,4142,2008,2134,.485,19,7,7,5
San Francisco Warriors,,NBA,1962-63,1970-71,Golden State Warriors,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,PHI,NBA/BAA,1946-47,1961-62,Golden State Warriors,16,1103,558,545,.506,12,3,0,2
Houston Rockets,HOU,NBA,1971-72,,,52,4148,2197,1951,.530,33,8,4,2
San Diego Rockets,,NBA,1967-68,1970-71,Houston Rockets,4,328,119,209,.363,1,0,0,0
Indiana Pacers,,NBA,1976-77,,,47,3739,1866,1873,.499,27,6,1,0
Indiana Pacers,,ABA,1967-68,1975-76,Indiana Pacers,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,,NBA,1984-85,,,39,3084,1324,1760,.429,13,2,0,0
San Diego Clippers,,NBA,1978-79,1983-84,Los Angeles Clippers,6,492,186,306,.378,0,0,0,0
Buffalo Braves,,NBA,1970-71,1977-78,Los Angeles Clippers,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,,NBA,1960-61,,,63,5035,3017,2018,.599,51,29,19,12
Minneapolis Lakers,,NBA/BAA,1948-49,1959-60,Los Angeles Lakers,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,,NBA,2001-02,,,22,1720,839,881,.488,12,1,0,0
Vancouver Grizzlies,,NBA,1995-96,2000-01,Memphis Grizzlies,6,460,101,359,.220,0,0,0,0
Miami Heat,,NBA,1988-89,,,35,2755,1448,1307,.526,23,15,6,3
Milwaukee Bucks,,NBA,1968-69,,,55,4394,2304,2090,.524,34,17,3,2
Minnesota Timberwolves,,NBA,1989-90,,,34,2664,1065,1599,.400,10,1,0,0
New Orleans Pelicans,,NBA,2013-14,,,10,751,342,409,.455,3,0,0,0
NO/Ok. City Hornets,,NBA,2005-06,2006-07,New Orleans Pelicans,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,,NBA,2002-03,2012-13,New Orleans Pelicans,9,722,342,380,.474,5,1,0,0
New York Knicks,,NBA/BAA,1946-47,,,77,5976,2895,3081,.484,43,8,4,2
Oklahoma City Thunder,,NBA,2008-09,,,15,1146,643,503,.561,10,5,1,0
Seattle SuperSonics,,NBA,1967-68,2007-08,Oklahoma City Thunder,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,,NBA,1989-90,,,34,2674,1247,1427,.466,16,6,2,0
Philadelphia 76ers,,NBA,1963-64,,,60,4797,2444,2353,.509,38,9,5,2
Syracuse Nationals,,NBA,1949-50,1962-63,Philadelphia 76ers,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,,NBA,1968-69,,,55,4396,2355,2041,.536,31,8,3,0
Portland Trail Blazers,,NBA,1970-71,,,53,4232,2256,1976,.533,37,6,3,1
Sacramento Kings,,NBA,1985-86,,,38,2998,1265,1733,.422,10,2,0,0
Kansas City Kings,,NBA,1975-76,1984-85,Sacramento Kings,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,,NBA,1972-73,1974-75,Sacramento Kings,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,,NBA,1957-58,1971-72,Sacramento Kings,15,1189,555,634,.467,7,0,0,0
Rochester Royals,,NBA/BAA,1948-49,1956-57,Sacramento Kings,9,620,357,263,.576,7,2,0,1
San Antonio Spurs,,NBA,1976-77,,,47,3737,2272,1465,.608,39,22,6,5
San Antonio Spurs,,ABA,1973-74,1975-76,San Antonio Spurs,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,,ABA,1970-71,1970-71,San Antonio Spurs,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,,ABA,1967-68,1972-73,San Antonio Spurs,5,408,202,206,.495,4,0,0,0
Toronto Raptors,,NBA,1995-96,,,28,2180,1045,1135,.479,13,7,1,1
Utah Jazz,,NBA,1979-80,,,44,3494,1967,1527,.563,31,11,2,0
New Orleans Jazz,,NBA,1974-75,1978-79,Utah Jazz,5,410,161,249,.393,0,0,0,0
Washington Wizards,,NBA,1997-98,,,26,2017,858,1159,.425,9,1,0,0
Washington Bullets,,NBA,1974-75,1996-97,Washington Wizards,23,1886,887,999,.470,13,2,3,1
Capital Bullets,,NBA,1973-74,1973-74,Washington Wizards,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,,NBA,1963-64,1972-73,Washington Wizards,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,,NBA,1962-63,1962-63,Washington Wizards,1,80,25,55,.313,0,0,0,0
Chicago Packers,,NBA,1961-62,1961-62,Washington Wizards,1,80,18,62,.225,0,0,0,0
